community_id,entity_count,entities,dominant_relations,summary
0,7,Apple | Apple Silicon | Beats Electronics | Disney | ESPN | M1 technology | music business and technology,"{""PARTNERED_WITH"": 3, ""DEVELOPED"": 2, ""USES"": 1, ""ACQUIRED"": 1}","Community 0 contains 7 entities; key entities: Apple, Apple Silicon, Beats Electronics, Disney, ESPN, M1 technology, music business and technology. Relation mix: {'PARTNERED_WITH': 3, 'DEVELOPED': 2, 'USES': 1, 'ACQUIRED': 1}."
1,5,Azure | Azure AI infrastructure | GPT-4 | Microsoft | OpenAI,"{""INVESTED_IN"": 2, ""PARTNERED_WITH"": 2, ""USES"": 2, ""DEVELOPED"": 1}","Community 1 contains 5 entities; key entities: Azure, Azure AI infrastructure, GPT-4, Microsoft, OpenAI. Relation mix: {'INVESTED_IN': 2, 'PARTNERED_WITH': 2, 'USES': 2, 'DEVELOPED': 1}."
2,4,Anthropic | Claude | Google | TensorFlow,"{""INVESTED_IN"": 2, ""PARTNERED_WITH"": 2, ""DEVELOPED"": 2}","Community 2 contains 4 entities; key entities: Anthropic, Claude, Google, TensorFlow. Relation mix: {'INVESTED_IN': 2, 'PARTNERED_WITH': 2, 'DEVELOPED': 2}."
3,4,Llama 2 | Llama 3 | Meta | PyTorch,"{""DEVELOPED"": 3, ""PARTNERED_WITH"": 1, ""USES"": 1}","Community 3 contains 4 entities; key entities: Llama 2, Llama 3, Meta, PyTorch. Relation mix: {'DEVELOPED': 3, 'PARTNERED_WITH': 1, 'USES': 1}."
4,2,GreenPages | Zanaris,"{""ACQUIRED"": 1}","Community 4 contains 2 entities; key entities: GreenPages, Zanaris. Relation mix: {'ACQUIRED': 1}."
5,2,Eversense | Senseonics,"{""DEVELOPED"": 1}","Community 5 contains 2 entities; key entities: Eversense, Senseonics. Relation mix: {'DEVELOPED': 1}."
6,2,Green Hills Software | MathWorks,"{""PARTNERED_WITH"": 1}","Community 6 contains 2 entities; key entities: Green Hills Software, MathWorks. Relation mix: {'PARTNERED_WITH': 1}."
7,2,Sineng Electric | onsemi,"{""PARTNERED_WITH"": 1}","Community 7 contains 2 entities; key entities: Sineng Electric, onsemi. Relation mix: {'PARTNERED_WITH': 1}."
8,2,Clément Delangue | Hugging Face,"{""FOUNDED"": 1, ""LEADS"": 1}","Community 8 contains 2 entities; key entities: Clément Delangue, Hugging Face. Relation mix: {'FOUNDED': 1, 'LEADS': 1}."
9,2,Infineon AURIX™ TC4x | Simulink ®,"{""USES"": 1}","Community 9 contains 2 entities; key entities: Infineon AURIX™ TC4x, Simulink ®. Relation mix: {'USES': 1}."
