chunk_id,resolved_text,unresolved_mentions,coref_status
gold01::c0000,"Hugging Face said that Clément Delangue was its co-founder and chief executive officer in 2023. The company, led by Clément Delangue, expanded its open-source machine-learning platform and partnerships during the year.",[],OK
gold02::c0000,Google LLC invested in Anthropic in October 2023 and committed up to two billion dollars. The company said the investment would deepen its cloud partnership with Anthropic while supporting development of safer artificial intelligence systems.,[],OK
gold03::c0000,"Anthropic developed Claude and introduced the artificial-intelligence assistant in March 2023. The startup described Claude as a conversational technology designed around helpfulness, honesty, and safety.",[],OK
gold04::c0000,Microsoft Corporation invested one billion dollars in OpenAI in July 2019. The two companies partnered to build new Azure artificial-intelligence supercomputing technologies and commercialize advanced AI systems.,[],OK
gold05::c0000,MSFT invested ten billion dollars in OpenAI in January 2023 through a multiyear partnership. Microsoft said the expanded investment would accelerate shared supercomputing research and deployment through Azure.,[],OK
gold06::c0000,OpenAI developed GPT-4 and released the named multimodal artificial-intelligence technology in March 2023. The company reported that GPT-4 could accept image and text inputs and generate text outputs.,[],OK
gold07::c0000,Meta Platforms developed Llama 2 and released the large language model in July 2023. Meta partnered with Microsoft to make the technology available through Azure and permitted research and commercial use under its license.,[],OK
gold08::c0000,Meta developed Llama 3 and released the next generation of its openly available large language model in April 2024. The company said Llama 3 improved reasoning and coding capabilities over the earlier Llama 2 family.,[],OK
gold09::c0000,Apple Inc acquired Beats Electronics in 2014 for approximately three billion dollars. The company later used the music business and technology as part of its broader services strategy.,[],OK
gold10::c0000,"AAPL developed Apple Silicon for Mac computers and introduced the M1 technology in November 2020. Apple said the processor integrated CPU, GPU, memory, and machine-learning components into a single system on a chip.",[],OK
gold11::c0000,GOOGL developed TensorFlow and released the machine-learning technology as open-source software in November 2015. Google engineers originally built the system for internal research and production workloads.,[],OK
gold12::c0000,Microsoft Corp uses Azure AI infrastructure to train and deploy machine-learning systems. Microsoft described Azure as a core technology supporting its partnerships and enterprise artificial-intelligence products.,[],OK
gold13::c0000,Meta Platforms Inc uses PyTorch for artificial-intelligence research and production. The company developed the open-source technology internally before stewardship moved to the independent PyTorch Foundation.,[],OK
gold14::c0000,GOOG partnered with Anthropic to use Google Cloud infrastructure for training and serving Claude models. The agreement followed Google's investment and connected the two companies through both capital and cloud technology.,[],OK
65c63ea1f187c085a866f680::c0000,(Nasdaq: ON) a leader in intelligent power and sensing technologies today announced that Sineng Electric will integrate onsemi EliteSiC silic,[],OK
65c63ea2f187c085a866f681::c0000,ELKO — An eighth grader at Adobe Middle School is one of 34 middle school aged girls in Nevada to be recognized by the National Center for Women in Technology. Janelle Garcia was recently ...,[],OK
65c63ea2f187c085a866f682::c0000,To deliver 21st-century government services Governors and cabinet members need leaders with technology expertise to help design and implement policy priorities. It is imperative for state ...,[],OK
65c63ea2f187c085a866f683::c0000,In February GreenPages acquired Toronto-based Zanaris an IT automation cloud and DevOps services firm ... Steve Burke has been reporting on the technology industry and sales channel for ...,[],OK
65c63ea7f187c085a866f684::c0000,"The conference will bring together growth oriented publicly traded clean energy and technology companies ... up to 4850 MW of clean power in British Columbia. For further information visit www.synex.com. This press release contains certain '""forward ...",[],OK
65c63ea7f187c085a866f685::c0000,Credit monitoring services can provide you with early notice of potential fraud on your credit report so you can take steps to protect your personal information. While these services can''t ...,[],OK
65c63ea7f187c085a866f686::c0000,as the first network technology partner for Magenta Business Networks SD-X. By leveraging the Juniper AI-driven Enterprise solution DT’s innovative new universal managed services platform will ...,[],OK
65c63ea8f187c085a866f687::c0000,Data I/O is the market leader and has multiple secular tailwinds blowing in its favor servicing markets that show strong secular growth. See why DAIO is a Buy.,[],OK
65c63ea8f187c085a866f688::c0000,Appen TSK Hynix and more featured in the latest Market Talks covering Technology Media and Telecom.,[],OK
65c63ea8f187c085a866f689::c0000,including over a dozen Certified Technology Specialists (CTS). This merger increases the combined team’s ability to provide comprehensive multi-disciplinary services. These include acoustical design electronic safety and security system design and ...,[],OK
65c63ea8f187c085a866f68a::c0000,The Dragos Partner Program enables channel partners to offer their customers the full range of ICS/OT cybersecurity technology and services to increase revenue opportunity and deliver positive ...,[],OK
65c63ea9f187c085a866f68b::c0000,Senseonics (NYSE:SENS) today announced positive data highlighting the effectiveness of its Eversense continuous glucose monitor (CGM).,[],OK
65c63ea9f187c085a866f68c::c0000,The number of video streaming services available has increased dramatically over the past few years as everyone including Apple Disney and ESPN decides they want a piece of the pie. The days ...,[],OK
65c63ea9f187c085a866f68d::c0000,Fidelity National Information Services Inc. (NYSE:FIS) is a financial technology solutions provider headquartered in Jacksonville Florida. On June 26 2023 Fidelity National Information ...,[],OK
65c63ea9f187c085a866f68e::c0000,And if anything Kubernetes has greatly improved software and services development when using Docker or any other containers technology. ‘87% of organisations plan to deploy Kubernetes in mission-critical environments over the next three years’ Easy ...,[],OK
65c63eaaf187c085a866f68f::c0000,MathWorks the leading developer of mathematical computing software and Green Hills Software the worldwide leader in embedded software safety and security announced an integration that helps engineers design safety-related applications for the Infineon AURIX™ TC4x family of automotive microcontrollers using Simulink ®.,[],OK
