article_id,title,published_date,text,company,source_dataset
gold01,Hugging Face leadership in 2023,2023-06-01,"Hugging Face said that Clément Delangue was its co-founder and chief executive officer in 2023. The company, led by Clément Delangue, expanded its open-source machine-learning platform and partnerships during the year.",Hugging Face,verified_demo
gold02,Google expands its Anthropic investment,2023-10-27,"Google LLC invested in Anthropic in October 2023 and committed up to two billion dollars. The company said the investment would deepen its cloud partnership with Anthropic while supporting development of safer artificial intelligence systems.",Google,verified_demo
gold03,Anthropic launches Claude,2023-03-14,"Anthropic developed Claude and introduced the artificial-intelligence assistant in March 2023. The startup described Claude as a conversational technology designed around helpfulness, honesty, and safety.",Anthropic,verified_demo
gold04,Microsoft backs OpenAI in 2019,2019-07-22,"Microsoft Corporation invested one billion dollars in OpenAI in July 2019. The two companies partnered to build new Azure artificial-intelligence supercomputing technologies and commercialize advanced AI systems.",Microsoft,verified_demo
gold05,Microsoft expands OpenAI partnership in 2023,2023-01-23,"MSFT invested ten billion dollars in OpenAI in January 2023 through a multiyear partnership. Microsoft said the expanded investment would accelerate shared supercomputing research and deployment through Azure.",Microsoft,verified_demo
gold06,OpenAI releases GPT-4,2023-03-14,"OpenAI developed GPT-4 and released the named multimodal artificial-intelligence technology in March 2023. The company reported that GPT-4 could accept image and text inputs and generate text outputs.",OpenAI,verified_demo
gold07,Meta releases Llama 2,2023-07-18,"Meta Platforms developed Llama 2 and released the large language model in July 2023. Meta partnered with Microsoft to make the technology available through Azure and permitted research and commercial use under its license.",Meta,verified_demo
gold08,Meta releases Llama 3,2024-04-18,"Meta developed Llama 3 and released the next generation of its openly available large language model in April 2024. The company said Llama 3 improved reasoning and coding capabilities over the earlier Llama 2 family.",Meta,verified_demo
gold09,Apple completes Beats acquisition,2014-08-01,"Apple Inc acquired Beats Electronics in 2014 for approximately three billion dollars. The company later used the music business and technology as part of its broader services strategy.",Apple,verified_demo
gold10,Apple develops custom silicon,2020-11-10,"AAPL developed Apple Silicon for Mac computers and introduced the M1 technology in November 2020. Apple said the processor integrated CPU, GPU, memory, and machine-learning components into a single system on a chip.",Apple,verified_demo
gold11,Google develops TensorFlow,2015-11-09,"GOOGL developed TensorFlow and released the machine-learning technology as open-source software in November 2015. Google engineers originally built the system for internal research and production workloads.",Google,verified_demo
gold12,Microsoft uses Azure AI infrastructure,2023-05-01,"Microsoft Corp uses Azure AI infrastructure to train and deploy machine-learning systems. Microsoft described Azure as a core technology supporting its partnerships and enterprise artificial-intelligence products.",Microsoft,verified_demo
gold13,Meta standardizes on PyTorch,2023-09-01,"Meta Platforms Inc uses PyTorch for artificial-intelligence research and production. The company developed the open-source technology internally before stewardship moved to the independent PyTorch Foundation.",Meta,verified_demo
gold14,Google and Anthropic deepen cloud partnership,2023-11-08,"GOOG partnered with Anthropic to use Google Cloud infrastructure for training and serving Claude models. The agreement followed Google's investment and connected the two companies through both capital and cloud technology.",Google,verified_demo
